name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW
Leny Yoro,DEF,Man Utd,0.8,0,0,5,0,0.3,572,0,0,0,0.43,225,0,0,1,9.4,2025-01-26T19:00:00Z,32,0,0,0,0,0,0,0,FALSE,9,0,0,0,0,23,0,22331,0,1,0,0,1,-1672,1217,2889,43,FALSE,0,23
Pedro Lomba Neto,MID,Chelsea,1.5,0,0,3,0,1.3,560,0.01,0.01,0,0.25,227,1,0,0.2,0.8,2025-01-25T17:30:00Z,17,0,0,0,0,0,0,0,FALSE,13,0,0,0,0,23,0,68017,0,1,3,0,1,-3788,1118,4906,62,FALSE,0,23
Ian Maatsen,DEF,Aston Villa,1.2,0,0,1,0,12,45,0.03,0.07,0.04,1.11,221,1,0,2.8,9,2025-01-26T16:30:00Z,52,0,0,0,0,0,0,0,FALSE,19,0,0,0,0,23,0,139594,0,1,1,7,1,-908,1702,2610,45,TRUE,0,23
Harry Winks,MID,Leicester,1.8,0,0,12,0,17.9,309,0.04,0.04,0,1.04,229,1,0,3.5,17.4,2025-01-26T14:00:00Z,90,0,0,0,0,0,0,0,FALSE,18,0,0,0,0,23,0,662242,1,2,1,0,1,-466,22983,23449,44,FALSE,1,23
Mads Roerslev Rasmussen,DEF,Brentford,2.6,0,0,5,0,15.5,105,0.1,0.13,0.03,1.08,224,1,0,3.1,14,2025-01-26T14:00:00Z,90,0,0,0,0,0,0,0,FALSE,7,0,0,0,0,23,0,14359,1,2,1,1,2,2119,3352,1233,43,FALSE,0,23
Jurriën Timber,DEF,Arsenal,2.3,0,0,21,1,5.3,6,0.02,0.02,0,0.74,230,0,0,1.9,13.4,2025-01-25T15:00:00Z,90,0,0,0,0,0,0,0,FALSE,20,0,0,0,0,23,0,534439,1,1,0,0,5,-25618,35090,60708,56,FALSE,1,23
Saša Kalajdžić,FWD,Wolves,0,0,0,0,0,0,555,0,0,0,0,230,0,0,0,0,2025-01-25T15:00:00Z,0,0,0,0,0,0,0,0,FALSE,1,0,0,0,0,23,0,4286,0,1,0,0,0,-111,113,224,48,TRUE,0,23
Anthony Elanga,MID,Nott'm Forest,4.2,0,0,12,0,66.8,432,0.2,0.37,0.17,1.69,222,5,0,11.2,13,2025-01-25T15:00:00Z,90,0,0,0,0,0,0,0,FALSE,3,0,0,0,0,23,0,712632,1,0,5,32,2,-13289,63681,76970,53,FALSE,0,23
Julio Enciso,MID,Ipswich,0,1,0,13,0,14.3,121,0.22,0.22,0,0.04,226,0,0,2.9,15,2025-01-25T15:00:00Z,11,0,0,0,0,0,0,0,FALSE,12,0,0,0,0,23,0,8303,0,1,4,0,3,237,741,504,54,FALSE,1,23
Alfie Dorrington,DEF,Spurs,0,0,0,0,0,0,699,0,0,0,0,229,0,0,0,0,2025-01-26T14:00:00Z,0,0,0,0,0,0,0,0,FALSE,11,0,0,0,0,23,0,908,0,2,1,0,0,-161,0,161,40,TRUE,0,23
Naouirou Ahamada,MID,Crystal Palace,0,0,0,0,0,0,190,0,0,0,0,224,0,0,0,0,2025-01-26T14:00:00Z,0,0,0,0,0,0,0,0,FALSE,4,0,0,0,0,23,0,9531,0,2,1,0,0,-146,0,146,45,TRUE,0,23
Jeremy Sarmiento Morante,MID,Brighton,0,0,0,0,0,0,141,0,0,0,0,223,0,0,0,0,2025-01-25T15:00:00Z,0,0,0,0,0,0,0,0,FALSE,8,0,0,0,0,23,0,1085,0,1,0,0,0,-9,0,9,49,TRUE,0,23
Ayden Heaven,DEF,Arsenal,0.5,0,0,0,0,0,658,0,0,0,0,230,0,0,0,0,2025-01-25T15:00:00Z,0,0,0,0,0,0,0,0,FALSE,20,0,0,0,0,23,0,5761,0,1,0,0,0,8,183,175,40,FALSE,0,23
Vladimír Coufal,DEF,West Ham,0.2,0,1,17,0,16.2,516,0.29,0.29,0,0.85,221,1,0,5,32,2025-01-26T16:30:00Z,90,0,0,0,0,0,0,0,FALSE,2,0,0,0,0,23,0,45711,1,1,1,2,3,-1102,318,1420,42,FALSE,0,23
Marc Cucurella Saseta,DEF,Chelsea,3.2,0,0,2,0,14.5,163,0.18,0.22,0.04,2.5,227,3,0,2.8,9,2025-01-25T17:30:00Z,90,0,0,0,0,0,0,0,FALSE,13,0,0,0,0,23,0,697148,1,1,3,4,1,-37216,19032,56248,52,FALSE,0,23
Toti António Gomes,DEF,Wolves,-0.4,0,0,0,0,0,567,0,0,0,0,230,0,0,0,0,2025-01-25T15:00:00Z,0,0,0,0,0,0,0,0,FALSE,1,0,0,0,0,23,0,18102,0,1,0,0,0,-1403,23,1426,43,TRUE,0,23
Julio Soler,DEF,Bournemouth,0,0,0,0,0,0,713,0,0,0,0,222,0,0,0,0,2025-01-25T15:00:00Z,0,0,0,0,0,0,0,0,FALSE,16,0,0,0,0,23,0,474,0,0,5,0,0,-155,70,225,40,TRUE,0,23
Cristian Romero,DEF,Spurs,0,0,0,0,0,0,498,0,0,0,0,229,0,0,0,0,2025-01-26T14:00:00Z,0,0,0,0,0,0,0,0,FALSE,11,0,0,0,0,23,0,402193,0,2,1,0,0,-7167,185,7352,49,TRUE,0,23
Dan Burn,DEF,Newcastle,3.2,0,0,1,0,10.2,395,0,0.13,0.13,0.76,228,1,0,2.6,11.4,2025-01-25T15:00:00Z,90,0,0,0,0,0,0,0,FALSE,17,0,0,0,0,23,0,888446,1,3,1,4,2,4140,39650,35510,44,FALSE,0,23
Destiny Udogie,DEF,Spurs,0,0,0,0,0,0,505,0,0,0,0,229,0,0,0,0,2025-01-26T14:00:00Z,0,0,0,0,0,0,0,0,FALSE,11,0,0,0,0,23,0,173493,0,2,1,0,0,-11707,61,11768,48,TRUE,0,23
Jordan Pickford,GK,Everton,3,0,0,20,1,0,235,0,0,0,0.73,223,0,0,1.2,12,2025-01-25T15:00:00Z,90,0,0,0,0,0,0,0,FALSE,5,0,0,0,0,23,1,1581751,1,1,0,0,5,46355,93734,47379,50,FALSE,1,23
Boubacar Traoré,MID,Wolves,-0.1,0,0,0,0,0,534,0,0,0,0,230,0,0,0,0,2025-01-25T15:00:00Z,0,0,0,0,0,0,0,0,FALSE,1,0,0,0,0,23,0,2455,0,1,0,0,0,-32,13,45,48,TRUE,0,23
Stefan Bajčetić Maquieira,MID,Liverpool,0,0,0,0,0,0,312,0,0,0,0,226,0,0,0,0,2025-01-25T15:00:00Z,0,0,0,0,0,0,0,0,FALSE,10,0,0,0,0,23,0,3711,0,1,4,0,0,-50,0,50,45,TRUE,0,23
Samuel Rak-Sakyi,MID,Chelsea,0,0,0,0,0,0,695,0,0,0,0,227,0,0,0,0,2025-01-25T17:30:00Z,0,0,0,0,0,0,0,0,FALSE,13,0,0,0,0,23,0,271,0,1,3,0,0,4,39,35,45,FALSE,0,23
Mikkel Damsgaard,MID,Brentford,4.6,1,2,25,0,57.2,89,0.27,0.27,0,1,224,1,0,9.9,38.2,2025-01-26T14:00:00Z,90,0,0,0,0,0,0,0,FALSE,7,0,0,0,0,23,0,142949,1,2,1,4,7,4608,20367,15759,50,FALSE,0,23
Luis Díaz,MID,Liverpool,3,0,0,8,1,7.5,327,0.03,0.03,0,0.23,226,0,0,2.5,3.6,2025-01-25T15:00:00Z,85,0,0,0,0,0,0,0,FALSE,10,0,0,0,0,23,0,1967948,1,1,4,14,3,36683,177274,140591,75,TRUE,0,23
Enzo Barrenechea,MID,Aston Villa,0,0,0,0,0,0,30,0,0,0,0,221,0,0,0,0,2025-01-26T16:30:00Z,0,0,0,0,0,0,0,0,FALSE,19,0,0,0,0,23,0,2019,0,1,1,0,0,-12,0,12,49,TRUE,0,23
Carlos Vinícius Alves Morais,FWD,Fulham,0,0,0,0,0,0,258,0,0,0,0,225,0,0,0,0,2025-01-26T19:00:00Z,0,0,0,0,0,0,0,0,FALSE,14,0,0,0,0,23,0,37235,0,1,0,0,0,-596,1268,1864,50,TRUE,0,23
Pervis Estupiñán,DEF,Brighton,3.2,0,0,0,0,0,122,0,0,0,0,223,0,0,0,0,2025-01-25T15:00:00Z,0,0,0,0,0,0,0,0,FALSE,8,0,0,0,0,23,0,171870,0,1,0,0,0,10451,21452,11001,50,TRUE,0,23
James Milner,MID,Brighton,0,0,0,0,0,0,134,0,0,0,0,223,0,0,0,0,2025-01-25T15:00:00Z,0,0,0,0,0,0,0,0,FALSE,8,0,0,0,0,23,0,4284,0,1,0,0,0,-17,30,47,50,TRUE,0,23
Ryan Trevitt,MID,Brentford,0,0,0,0,0,0,602,0,0,0,0,224,0,0,0,0,2025-01-26T14:00:00Z,0,0,0,0,0,0,0,0,FALSE,7,0,0,0,0,23,0,6744,0,2,1,0,0,-151,197,348,44,FALSE,0,23
Enzo Fernández,MID,Chelsea,0.9,0,0,15,0,22.8,168,0.01,0.05,0.04,2.5,227,3,0,4.2,14.8,2025-01-25T17:30:00Z,90,0,0,0,0,0,0,0,FALSE,13,0,0,0,0,23,0,501317,1,1,3,4,2,-169207,2755,171962,49,FALSE,0,23
