player_name_id,element,value,season,event,fixture,total_points,minutes,goals_scored,assists,team_elo,opp_team_elo,position,bonus,bps,clean_sheets,goals_conceded,was_home,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts,cbi,defensive_contribution,recoveries,tackles,saves,team_name,opp_team_name
Kepa Arrizabalaga Revuelta,2.0,45.0,20252026.0,2.0,11.0,0.0,0.0,0.0,0.0,1227.3848193189535,935.9591174364621,GK,0.0,0.0,0.0,0.0,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,Leeds
Kepa Arrizabalaga Revuelta,2.0,44.0,20252026.0,3.0,25.0,0.0,0.0,0.0,0.0,1230.5331398115277,1245.9148741868203,GK,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,Liverpool
Kepa Arrizabalaga Revuelta,2.0,44.0,20252026.0,4.0,31.0,0.0,0.0,0.0,0.0,1220.9755726926464,1055.2633150868137,GK,0.0,0.0,0.0,0.0,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,Nott'm Forest
Kepa Arrizabalaga Revuelta,2.0,44.0,20252026.0,5.0,41.0,0.0,0.0,0.0,0.0,1226.5375302467046,1212.0727230326017,GK,0.0,0.0,0.0,0.0,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,Man City
Kepa Arrizabalaga Revuelta,2.0,43.0,20252026.0,6.0,58.0,0.0,0.0,0.0,0.0,1226.1214400053402,1112.1699397233401,GK,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,Newcastle
Kepa Arrizabalaga Revuelta,2.0,43.0,20252026.0,7.0,61.0,0.0,0.0,0.0,0.0,1232.9544054518728,978.9323500399519,GK,0.0,0.0,0.0,0.0,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,West Ham
Kepa Arrizabalaga Revuelta,2.0,43.0,20252026.0,8.0,74.0,0.0,0.0,0.0,0.0,1236.7168176511273,1030.3095815813476,GK,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,Fulham
Kepa Arrizabalaga Revuelta,2.0,43.0,20252026.0,9.0,81.0,0.0,0.0,0.0,0.0,1241.3885255273426,1097.674167066845,GK,0.0,0.0,0.0,0.0,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,Crystal Palace
Kepa Arrizabalaga Revuelta,2.0,42.0,20252026.0,10.0,92.0,0.0,0.0,0.0,0.0,1247.4729087881735,910.4897846235817,GK,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,Burnley
Kepa Arrizabalaga Revuelta,2.0,42.0,20252026.0,11.0,108.0,0.0,0.0,0.0,0.0,1249.986237719252,1036.153450701429,GK,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,Sunderland
Kepa Arrizabalaga Revuelta,2.0,42.0,20252026.0,12.0,111.0,0.0,0.0,0.0,0.0,1244.506644972336,1013.7781139018407,GK,0.0,0.0,0.0,0.0,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,Spurs
Kepa Arrizabalaga Revuelta,2.0,42.0,20252026.0,13.0,123.0,0.0,0.0,0.0,0.0,1248.6958558198573,1144.719414433196,GK,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,Chelsea
Kepa Arrizabalaga Revuelta,2.0,42.0,20252026.0,14.0,131.0,0.0,0.0,0.0,0.0,1245.7894275913382,1063.038519755727,GK,0.0,0.0,0.0,0.0,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,Brentford
Kepa Arrizabalaga Revuelta,2.0,42.0,20252026.0,15.0,141.0,0.0,0.0,0.0,0.0,1250.9662568508877,1155.5598508031935,GK,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,Aston Villa
Kepa Arrizabalaga Revuelta,2.0,41.0,20252026.0,16.0,151.0,0.0,0.0,0.0,0.0,1238.2872416744679,904.9129706118312,GK,0.0,0.0,0.0,0.0,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,Wolves
Kepa Arrizabalaga Revuelta,2.0,41.0,20252026.0,17.0,164.0,0.0,0.0,0.0,0.0,1240.8465778395362,1065.5870553866316,GK,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,Everton
